"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"9329","Normal/Others","WS/MP18010/2024-2025/182174-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Andhra Pradesh","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Construction of Retaining wall on Yeleru canal right bank near Sivalayam Temple","TANGELLA UDAY SRINIVAS","KAKINADA","Images","30-Jun-2025","5958963"
"9330","Normal/Others","WS/	 MP578/2024-2025/157165-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","pakhajan munnabhai shah na ghare thi dikpalbhai na ghar sudhi pevar block nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","N/A","08-Jul-2025","398142"
"9331","Normal/Others","WS/MP18051/2025-2026/195239-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA)","JITENDRA GHAR SE ARJIN SINGH GHAR TAK C.C. ROAD","ROOP KUMARI CHOUDHARY","MAHASAMUND","Images","03-Feb-2026","999300"
"9332","Normal/Others","WS/MP017/2025-2026/160031-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Constrution of Paver block in Community health center Melvisharam","S. Jagathrakshakan","ARAKKONAM","Images","26-Jun-2025","1598588"
"9333","Normal/Others","WS/MP18091/2025-2026/164314-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MYSURU(DEPUTY COMMISSIONER MYSORE_IDA)","Construction of road from Dharmapura village Daithanagare gate till Benkipura Village","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","Images","19-Sep-2025","500000"
"9334","Normal/Others","WS/MP437/2025-2026/178994-Installing hand pumps","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Installation of hand pump near Geeta Bhawan in ward number 24","Vishnu Dayal Ram","PALAMU(SC)","Images","21-Sep-2025","150000"
"9335","Normal/Others","WS/MP826/2024-2025/135524-Providing drains and gutters for public drainage","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Maintenance of public drainage (jhora) from Amar Sharma House towards Pradeep Mangar House  Ref: Som Dutt Brahmin (9851524119), Member, Darjeeling-II GP","Raju Bista","DARJEELING","Images","04-Jul-2025","463899"
"9336","Normal/Others","WS/MP437/2025-2026/180331-Installing community drinking water plants","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of Deep bore near Shiv Mandir in village Ataria","Vishnu Dayal Ram","PALAMU(SC)","Images","29-Aug-2025","299394"
"9337","Normal/Others","WS/MP457/2024-2025/146373-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Fair Price Shop (Ration Shop) at Nadukuppam Village of Marakanam Taluk, Viluppuram District","D Ravikumar","VILUPPURAM(SC)","Images","23-Aug-2025","1299466"
"9338","Normal/Others","WS/MP437/2025-2026/180330-Installing community drinking water plants","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of a deep bore near Munna Paswan house in Sole village","Vishnu Dayal Ram","PALAMU(SC)","Images","24-Jul-2026","299157"
"9339","Normal/Others","WS/MP437/2025-2026/191107-Construction of public irrigation facilities","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Installation of deep bore near the farm of Vineet Pandey in village Karakat Bandhwa","Vishnu Dayal Ram","PALAMU(SC)","Images","02-Apr-2026","299325"
"9340","Normal/Others","WS/MP437/2025-2026/186527-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet PCC road from Khijhu Singh house to Belwa Aahar Bandh in village Murumdag","Vishnu Dayal Ram","PALAMU(SC)","Images","21-Sep-2025","449600"
"9341","Normal/Others","WS/MP437/2025-2026/186526-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet PCC road from Jairam Agarwal house to  Ravindra Sharma house in ward number 20","Vishnu Dayal Ram","PALAMU(SC)","Images","29-Aug-2025","449600"
"9342","Normal/Others","WS/MP437/2025-2026/189156-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet PCC road from Govind Mahato house to main road in village Koreadih Khurd","Vishnu Dayal Ram","PALAMU(SC)","Images","24-Jul-2026","449600"
"9343","Normal/Others","WS/MP826/2024-2025/135520-Construction of community centers and community halls","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Construction of Community Center at Ward No 2, Gangatia Terso Line, 18 Golai, CCNS Samaj  Ref: Diki Subba (7583995164), Panchayat Member, Chongtong GP","Raju Bista","DARJEELING","Images","04-Jul-2025","498069"
"9344","Normal/Others","WS/MP437/2025-2026/188104-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet PCC road from Lal Kishun Tiwari house to Amresh Tiwari house via  Sayum Miya house in village Koiriadih Kalan","Vishnu Dayal Ram","PALAMU(SC)","Images","24-Jul-2026","449600"
"9345","Normal/Others","WS/MP18108/2025-2026/162329-Construction of bus-sheds or bus-stops","Madhya Pradesh","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Pre fabricated  bus shelter  model number 3 with two LED solar light 1. Gram Panchayat Muhli Me 2. Gram Panchayat Hanota Kalan 3. Four Line Main Road Lidhora Chouraha 4. Gram Panchayat Richhoda Me 5. Baheriya Chouraha Banda Road par 6. Tilak Ganj Ward Imanual School Ke Pass sagar 7. Crischiyan Colony Ward No. 4 Sagar 8. Khel Parisar Ke samne Sagar 9. Gram Panchayat  Semrahat me 10. Gram Panchayat Mehar me hinglaj devi mandir ke pass","DR. LATA WANKHEDE","SAGAR","Images","26-Jun-2025","2599420"
"9346","Normal/Others","WS/MP437/2025-2026/186528-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet drain from Ramji ram house to the river in village Kamgarpur","Vishnu Dayal Ram","PALAMU(SC)","Images","21-Sep-2025","400000"
"9347","Normal/Others","WS/MP437/2025-2026/194153-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet PCC path from Rajbali Thakur house to Anandi Singh house in village Kajri","Vishnu Dayal Ram","PALAMU(SC)","Images","24-Jul-2026","449600"
"9348","Normal/Others","WS/MP437/2025-2026/188106-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Constructionof 300 feet drain from Pintu Paswan house to Param Paswan house in Paswan Tola in Gram Panchayat dangwar","Vishnu Dayal Ram","PALAMU(SC)","Images","21-Sep-2025","400000"
"9349","Normal/Others","WS/MP826/2024-2025/135525-Providing drains and gutters for public drainage","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Construction of public drainage at Pandam Darikheti, Ward No VIII, Darjeeling-II Gram Panchayat  Ref: Arpan Thapa (9883997412),  Member, Darjeeling-II GP","Raju Bista","DARJEELING","Images","04-Jul-2025","457415"
"9350","Normal/Others","WS/MP437/2025-2026/180328-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet PCC road from Dilip Pandey house to Narad Pandey house in Ward No. 3 Bishrampur Municipal Council","Vishnu Dayal Ram","PALAMU(SC)","Images","21-Sep-2025","449600"
"9351","Normal/Others","WS/MP437/2025-2026/188105-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 300 feet PCC road from Gayatri Mandir Road Sudna Devi Mandap to Nand Bihari Singh house via Bihari Saw house in ward no 10","Vishnu Dayal Ram","PALAMU(SC)","Images","21-Sep-2025","449600"
"9352","Normal/Others","WS/MP437/2025-2026/178995-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Construction of 600 feet PCC path from police line main road to Vinay Mode in Ward No. 25","Vishnu Dayal Ram","PALAMU(SC)","Images","24-Jul-2026","899300"
"9353","Normal/Others","WS/MP819/2025-2026/207123-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Construction of Interlocking Road Village-Ading, Block-Goverdhan ion GGIC College Prangan","Smt Hema Malini","MATHURA","N/A","23-Sep-2025","1319474"
"9354","Normal/Others","WS/	 MP005/2025-2026/175175-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Construction Of C.C Road Work at Virambhai House Area towards Gopal bhai Atmaram House Area","Devusinh Jesingbhai Chauhan","KHEDA","Images","26-Jun-2025","250000"
"9355","Normal/Others","WS/	 MP005/2025-2026/175182-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Construction of C.C Road Work At, Ambamata Faliya Area  and Patel Khadki Area","Devusinh Jesingbhai Chauhan","KHEDA","Images","01-Jul-2025","220000"
"9356","Normal/Others","WS/MP18182/2025-2026/161261-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 12mtr Mini High mast LED Light at Near Ward No.01 Kumanthapuram Bus Stop in Kadayanallur Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","26-Jun-2025","418432"
"9357","Normal/Others","WS/	 MP005/2025-2026/175164-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Construction Of Paver Block Work at Mahakali Mandir Near By Shaileshbhai Parmar House Area","Devusinh Jesingbhai Chauhan","KHEDA","Images","26-Jun-2025","150000"
"9358","Normal/Others","WS/MP18182/2025-2026/161260-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 12mtr Mini High mast LED Light at Near Ward No.20 Mathina Nagar Pallivasal in Kadayanallur Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","26-Jun-2025","418432"
"9359","Normal/Others","WS/MP18182/2025-2026/161259-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 12mtr Mini High mast LED Light at Near Ward No.5 Krishnapuram Karuppasamy Kovil in Kadayanallur Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","Images","26-Jun-2025","418432"
"9360","Normal/Others","WS/	 MP005/2025-2026/175163-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Construction Of Paver Block Work at Between Motavas and Vankar Vas, Manharbhai Chauhan House Towards Gabhrubhai Chauhan House Area,","Devusinh Jesingbhai Chauhan","KHEDA","Images","26-Jun-2025","300000"
"9361","Normal/Others","WS/MP453/2024-2025/153894-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Construction of CC Road at Kuti Street of Karubai GP under Rayagada Block","Saptagiri Sankar Ulaka","KORAPUT(ST)","N/A","26-Jun-2025","249703"
"9362","Normal/Others","WS/MP18391/2025-2026/193450-Construction of culverts and bridges","Nagaland","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","Construction of protection wall","S SUPONGMEREN JAMIR","NAGALAND","Images","18-Jan-2026","700000"
"9363","Normal/Others","WS/MP18391/2025-2026/193458-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","Construction of road and drainage at Notun basti","S SUPONGMEREN JAMIR","NAGALAND","N/A","18-Jan-2026","1000000"
"9364","Repair and Renovation","WS/MP18083/2024-2025/165589-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Road development opposite Karantara Hitlu in Sankoli, Someshwara village, Mangalore assembly constituency","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","27-Jun-2025","145380"
"9365","Repair and Renovation","WS/MP18083/2024-2025/165564-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Construction of drainage near house of Bastipadpu Kumar Bangera in Ullala Municipal Corporation of Mangalore Assembly Constituency","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","09-Jul-2025","199590"
"9366","Repair and Renovation","WS/MP18083/2024-2025/165574-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Road development in front of Kolya Ullal Mohan Kumars house in Someshwara village of Mangalore assembly constituency","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","27-Jun-2025","198220"
"9367","Normal/Others","WS/MP18091/2025-2026/164313-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MYSURU(DEPUTY COMMISSIONER MYSORE_IDA)","Construction of road from Halladakoppalu village till Kendagannapura village","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","Images","19-Sep-2025","500000"
"9368","Normal/Others","WS/MP18226/2024-2025/168970-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Khanipur Gurudwara intersection in village Khanipur.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9369","Normal/Others","WS/MP18226/2024-2025/168979-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Raghav Ji Mandir intersection in village Nakaha.","UTKARSH VERMA MADHUR","KHERI","N/A","20-Jan-2026","166033"
"9370","Normal/Others","WS/MP18170/2024-2025/151380-Purchase of furniture and fixtures for educational purposes","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Furniture with repair work Shahid Liaquat Ali Government Higher Secondary School Khirwa Panchayat Samiti Laxmangarh","AMRARAM","SIKAR","N/A","30-Mar-2026","294500"
"9371","Normal/Others","WS/MP18226/2024-2025/168980-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Noori Barkati Masjid intersection in village Nakaha.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9372","Normal/Others","WS/MP18226/2024-2025/168981-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Radhakrishna Temple intersection in village Nakaha.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9373","Normal/Others","WS/MP18226/2024-2025/168982-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection by Thakur in village Katkusama.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9374","Normal/Others","WS/MP18226/2024-2025/168983-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Durga Devi Temple intersection in village Jagsad.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9375","Normal/Others","WS/MP18226/2024-2025/168984-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sati Mata Mandir intersection in village Sakethu.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9376","Normal/Others","WS/MP18226/2024-2025/168987-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Devi Mandir intersection in village Chahamalpur.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9377","Normal/Others","WS/MP716/2024-2025/139172-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Construcitoin of Interlock Street & Both Side Drains Guru Ghar to Chamkor Singh s/o Karnail Singh House","Smt Harsimrat Kaur Badal","BHATINDA","Images","28-Aug-2025","479391"
"9378","Normal/Others","WS/MP18226/2024-2025/168989-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mahakaleshwar Temple intersection in village Badhaidih (Parsia).","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9379","Normal/Others","WS/MP341/2025-2026/152322-Providing CCTV camera system for security of public areas","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Installation of CCTV Camera System in Chowdappa Layout located in Bapujinagar Ward, Vijayanagar Assembly Constituency, Bengaluru","Shri LS Tejasvi Surya","BANGALORE SOUTH","Images","27-Jun-2025","500000"
"9380","Normal/Others","WS/MP18226/2024-2025/168990-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Madrasa wali Masjid intersection in village Emamipurwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9381","Normal/Others","WS/MP18209/2025-2026/144761-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Construction work of drain and CC road in Branch Street from the house of Village Sikri Appi Pardhan to the house of Khalil Ahmed.","CHANDAN CHAUHAN","BIJNOR","N/A","09-Sep-2025","1094566"
"9382","Normal/Others","WS/MP18182/2025-2026/161263-Street lights","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Supply & Installation of 16 mtrs High Mast LED Light at KTC Bus Depot Front Side in Puliyangudi Municipality.","DR RANI SRI KUMAR","TENKASI(SC)","N/A","27-Jun-2025","897634"
"9383","Normal/Others","WS/MP18226/2024-2025/168991-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Madina Masjid intersection in village Jhampurwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9384","Normal/Others","WS/MP18226/2024-2025/168994-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Hanuman Mandir intersection in village Bhiraghasi.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9385","Normal/Others","WS/MP18226/2024-2025/168995-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Bhiraghasi.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9386","Normal/Others","WS/MP18083/2025-2026/166066-Establishing public ground water recharging facilities","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Development of public lake near Sri Janardhana Swamy Temple in Ujire village of Belthangady taluk","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","27-Jun-2025","498150"
"9387","Normal/Others","WS/MP18226/2024-2025/168996-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sumer Giri Baba Mandir intersection in village Belwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9388","Normal/Others","WS/MP18226/2024-2025/168997-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jind Baba intersection in village Bhagha.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9389","Normal/Others","WS/MP18226/2024-2025/168998-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the old Jama Masjid intersection in village Ghosiana (Banjaria).","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9390","Normal/Others","WS/MP18226/2024-2025/168999-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mata Ji Mandir intersection in village Saidapur (Siraincha).","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9391","Normal/Others","WS/MP18226/2024-2025/169000-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Dev Sthan intersection in village Trikauliyapurwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9392","Normal/Others","WS/MP18226/2024-2025/169001-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Mahola.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9393","Normal/Others","WS/MP18226/2024-2025/169002-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv Ji Mandir intersection in village Devaria.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"9394","Normal/Others","WS/MP18226/2024-2025/169003-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the Masjid intersection in village Deoria.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9395","Normal/Others","WS/MP18226/2024-2025/169018-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Mohaddipur.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"9396","Normal/Others","WS/MP18226/2024-2025/169019-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shankar Ji Mandir intersection in village Sunda.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"9397","Normal/Others","WS/MP18014/2024-2025/167503-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Construction of Internal CC Road in SR Puram Village of SR Purama Grama Panchayat, SR Puram Mandal","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","N/A","03-Jul-2025","500000"
"9398","Normal/Others","WS/MP18226/2024-2025/169020-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Shankar ji temple in village Padri.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"9399","Normal/Others","WS/MP18226/2024-2025/169021-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shankar Ji Mandir intersection in village Chaupur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"9400","Normal/Others","WS/MP18226/2024-2025/169022-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Chhatrapal house intersection in village Ashogapur","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"9401","Normal/Others","WS/MP18014/2024-2025/167420-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Laying of Internal CC Road at North Harijanawada Colony in Vinjamur Grama Panchyat, Vinjamur Mandal","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","Images","03-Jul-2025","499639"
"9402","Normal/Others","WS/MP356/2025-2026/145730-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","CONSTRUCTION OF ROOM","Shri Sudheer Gupta","MANDSOUR","Images","23-Jan-2026","150000"
"9403","Normal/Others","WS/MP18019/2025-2026/154341-Construction of water tanks","Assam","WEST KARBI ANGLONG(DISTRICT COMMISSIONER WEST KARBI ANGLONG)","Improvement of water harvesting at Tharvelangso, Longre","AMARSING TISSO","Diphu (ST)","Images","26-Feb-2026","181264"
"9404","Normal/Others","WS/MP18226/2024-2025/169023-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sardar Gurudayal Singh house intersection in village Basaigapur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"9405","Normal/Others","WS/MP18226/2024-2025/169027-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection near Shankar Baksh Singh in village Saidipur Harraiya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"9406","Normal/Others","WS/MP18226/2024-2025/169024-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Babbu Rastogi house intersection in village Amritaganj.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"9407","Normal/Others","WS/MP18226/2024-2025/169025-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near the intersection of Narendra Kumar Verma Purv pradhan  house in village Chahamalpur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"9408","Normal/Others","WS/MP18226/2024-2025/169026-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the house intersection of Siyaram Bhargava Purv pradhan head in village Matehi.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"9409","Normal/Others","WS/MP18091/2025-2026/175660-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MYSURU(DEPUTY COMMISSIONER MYSORE_IDA)","Construction of cement road from adaganahalli road till lakshmana house","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","Images","19-Sep-2025","500000"
"9410","Normal/Others","WS/MP18226/2024-2025/169073-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the market intersection in Gram Panchayat Baragaon.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
